,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202
종로구,30.3030303,6.060606061,9.090909091,9.090909091,9.090909091,18.18181818,106.0606061,75.75757576,21.21212121,93.93939394,809.0909091,369.6969697,212.1212121,936,124,160,128,402,444,792,1022,1236,562.7906977,353.4883721,767.4418605
중구,0,36.36363636,18.18181818,27.27272727,27.27272727,72.72727273,272.7272727,72.72727273,63.63636364,381.8181818,1581.818182,672.7272727,981.8181818,1092.105263,189.4736842,244.7368421,244.7368421,560.5263158,736.8421053,1478.947368,968.4210526,1568.421053,487.7358491,381.6037736,695.2830189
용산구,0,42.85714286,21.42857143,71.42857143,42.85714286,14.28571429,164.2857143,78.57142857,75,289.2857143,685.7142857,378.5714286,1115.714286,1159.508197,173.7704918,283.6065574,396.7213115,786.8852459,734.4262295,678.6885246,713.1147541,1031.147541,577.734375,555.859375,1093.75
성동구,14.28571429,14.28571429,61.9047619,100,42.85714286,38.0952381,147.6190476,133.3333333,100,385.7142857,1071.428571,671.4285714,681.9047619,1167.44186,441.8604651,400,523.255814,1132.55814,844.1860465,1374.418605,1055.813953,1860.465116,387.254902,351.4705882,820.0980392
광진구,11.11111111,22.22222222,16.66666667,33.33333333,16.66666667,27.77777778,411.1111111,183.3333333,61.11111111,216.6666667,1538.888889,694.4444444,766,937.8181818,449.0909091,398.1818182,421.8181818,847.2727273,960,1598.181818,936.3636364,1687.272727,433.9622642,436.0587002,1062.054507
동대문구,11.11111111,138.8888889,27.77777778,16.66666667,22.22222222,33.33333333,405.5555556,177.7777778,150,700,1794.444444,1233.333333,1067.948718,756.2833206,253.4653465,250.4950495,192.0792079,379.2079208,427.7227723,915.8415842,992.0792079,1624.752475,674.9469214,391.507431,916.3481953
중랑구,0,33.33333333,8.333333333,8.333333333,38.88888889,30.55555556,269.4444444,127.7777778,61.11111111,227.7777778,1363.888889,608.3333333,601.4957265,1105.550146,430.3797468,360.7594937,225.3164557,527.8481013,663.2911392,840.5063291,806.3291139,1535.443038,533.0223881,332.8358209,899.4402985
성북구,5.128205128,33.33333333,23.07692308,12.82051282,10.25641026,23.07692308,610.2564103,138.4615385,43.58974359,274.3589744,889.7435897,541.025641,810.2564103,967.1985816,219.1489362,289.3617021,250,517.0212766,562.7659574,794.6808511,888.2978723,1806.382979,501.1363636,335.8766234,954.2207792
강북구,0,26.31578947,0,47.36842105,52.63157895,21.05263158,410.5263158,200,78.94736842,194.7368421,1236.842105,978.9473684,770.3947368,1098.101266,168.3544304,329.1139241,207.5949367,448.1012658,426.5822785,700,839.2405063,1436.708861,637.2492837,318.0515759,990.8309456
도봉구,0,27.27272727,13.63636364,45.45454545,195.4545455,9.090909091,309.0909091,336.3636364,100,381.8181818,1118.181818,827.2727273,832.7272727,1009.178082,245.2054795,315.0684932,146.5753425,509.5890411,330.1369863,712.3287671,747.9452055,1497.260274,599.5180723,323.8554217,1009.638554
노원구,25,40.625,9.375,25,40.625,18.75,562.5,221.875,100,431.25,1043.75,678.125,680.2083333,1066.666667,286.6666667,404.4444444,275.5555556,624.4444444,457.7777778,797.7777778,874.4444444,1743.333333,290.980052,217.5195143,626.6261925
은평구,22.58064516,45.16129032,22.58064516,22.58064516,58.06451613,35.48387097,383.8709677,219.3548387,51.61290323,296.7741935,1345.16129,648.3870968,589.6774194,1321.764706,335.2941176,232.3529412,211.7647059,526.4705882,696.0784314,911.7647059,713.7254902,1490.196078,432.2670376,247.566064,823.3657858
서대문구,53.33333333,60,33.33333333,60,53.33333333,40,340,226.6666667,73.33333333,800,1653.333333,1013.333333,828.5714286,659.8214286,162.5,287.5,243.75,635.9375,815.625,840.625,687.5,1414.0625,431.5565032,332.6226013,774.4136461
마포구,0,45.16129032,29.03225806,9.677419355,35.48387097,45.16129032,248.3870968,103.2258065,83.87096774,316.1290323,1296.774194,512.9032258,547.0046083,1021.293801,318.8679245,328.3018868,469.8113208,1222.641509,1364.150943,1424.528302,1075.471698,1828.301887,464.6938776,410.4081633,984.6938776
양천구,3.03030303,48.48484848,12.12121212,18.18181818,130.3030303,3.03030303,218.1818182,112.1212121,39.39393939,333.3333333,1245.454545,706.0606061,678.7878788,858.5858586,177.7777778,177.7777778,182.8282828,418.1818182,589.8989899,627.2727273,497.979798,1451.515152,440.8427877,364.8298217,973.7439222
강서구,1.234567901,24.69135802,4.938271605,23.45679012,40.74074074,30.86419753,135.8024691,88.88888889,25.92592593,359.2592593,909.8765432,266.6666667,403.8580247,1206.632653,222.4489796,203.0612245,214.2857143,576.5306122,658.1632653,907.1428571,733.6734694,1765.306122,350.8064516,219.6572581,662.3991935
구로구,2.5,80,5,15,112.5,12.5,150,75,55,172.5,865,460,815.3571429,636.7924528,134.9056604,183.0188679,153.7735849,527.3584906,583.9622642,1337.735849,1504.716981,1864.150943,592.4335378,416.1554192,993.4560327
금천구,7.142857143,78.57142857,0,21.42857143,114.2857143,57.14285714,235.7142857,135.7142857,50,178.5714286,1407.142857,528.5714286,697.6190476,323.8095238,103.5714286,182.1428571,125,376.1904762,445.2380952,696.4285714,795.2380952,1354.761905,570.9090909,321.8181818,916.3636364
영등포구,0,50,13.88888889,30.55555556,75,25,186.1111111,144.4444444,50,227.7777778,1083.333333,538.8888889,634.9206349,778.7923417,209.2783505,271.1340206,281.443299,670.1030928,863.9175258,1155.670103,1058.762887,1995.876289,669.4505495,428.5714286,1050.32967
동작구,2.777777778,61.11111111,22.22222222,25,36.11111111,47.22222222,291.6666667,163.8888889,77.77777778,344.4444444,1127.777778,597.2222222,577.7777778,1136.363636,248.1818182,205.4545455,198.1818182,659.0909091,612.7272727,636.3636364,605.4545455,1255.454545,512.5248509,392.0477137,1056.063618
관악구,11.11111111,92.59259259,55.55555556,59.25925926,200,114.8148148,370.3703704,514.8148148,333.3333333,255.5555556,1740.740741,633.3333333,850.5291005,641.0526316,326.3157895,265.2631579,271.5789474,1162.105263,1065.263158,1117.894737,843.1578947,1818.947368,342.9022082,312.1976866,687.5920084
서초구,19.23076923,76.92307692,53.84615385,15.38461538,53.84615385,26.92307692,288.4615385,219.2307692,130.7692308,896.1538462,1380.769231,546.1538462,615.8119658,1259.027778,556.25,440.625,526.5625,1201.5625,1040.625,1029.6875,750,1639.0625,487.0588235,464.9019608,1061.372549
강남구,25,133.3333333,108.3333333,41.66666667,37.5,62.5,316.6666667,395.8333333,308.3333333,658.3333333,1783.333333,937.5,640.0641026,1455.555556,608.3333333,750,1040.277778,1770.833333,1725,1725,1298.611111,1690.277778,362.5954198,377.6444929,794.5474373
송파구,41.37931034,44.82758621,41.37931034,37.93103448,24.13793103,151.7241379,544.8275862,275.862069,186.2068966,731.0344828,1727.586207,868.9655172,865.8045977,1329.166667,325,373.3333333,354.1666667,693.3333333,750,1392.5,839.1666667,1622.5,398.9503817,323.0916031,892.9389313
강동구,19.04761905,28.57142857,14.28571429,52.38095238,52.38095238,66.66666667,438.0952381,204.7619048,95.23809524,328.5714286,1442.857143,871.4285714,805.7142857,1406.160338,316.4556962,410.1265823,336.7088608,655.6962025,565.8227848,1092.405063,1194.936709,1920.253165,401.7955801,297.6519337,991.0220994
